px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.008,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.009,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,-0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,-0.0
-0.0,0.0,0.01,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0.0,0.0
